,salary_in_usd,count
617,59000,2
618,163700,2
619,63500,2
620,132673,2
621,51810,2
622,59976,2
623,52806,2
624,364905,2
625,30408,2
626,165511,2
627,148960,2
628,171000,2
629,103173,2
630,68400,2
631,78300,2
632,136200,2
633,67400,2
634,107757,2
635,97722,2
636,99700,2
637,91764,2
638,165000,2
639,82227,2
640,168889,2
641,69690,2
642,161000,2
643,115920,2
644,167300,2
645,129960,2
646,149500,2
647,22000,2
648,115100,2
649,124800,2
650,63591,2
651,29500,2
652,41250,2
653,117000,2
654,46800,2
655,178200,2
656,73800,2
657,162630,2
658,80860,2
659,162000,2
660,132200,2
661,54400,2
662,92950,2
663,70824,2
664,62148,2
665,53700,2
666,130104,2
667,92208,2
668,82329,2
669,200740,2
