job_title,salary_in_usd
Analytics Engineering Manager,399880.0
Data Science Tech Lead,375000.0
Applied AI ML Lead,292500.0
Director of Machine Learning,281617.0
Machine Learning Performance Engineer,262500.0
AWS Data Architect,258000.0
Cloud Data Architect,250000.0
Machine Learning Model Engineer,245625.0
ML Infrastructure Engineer,229300.0
AI Architect,215510.0
